@relation training

@attribute LOC numeric
@attribute NumParameters numeric
@attribute NumBranches numeric
@attribute NestingDepth numeric
@attribute NumCodeSmells numeric
@attribute NumLocalVariables numeric
@attribute NumRevisions numeric
@attribute NumAuthors numeric
@attribute TotalStmtAdded numeric
@attribute TotalStmtDeleted numeric
@attribute MaxChurn numeric
@attribute AvgChurn numeric
@attribute HasFixHistory numeric
@attribute IsBuggy {no,yes}

@data
15,3,1,1,0,1,1,1,15,0,15,15,0,no
3,0,0,0,0,0,1,1,3,0,3,3,0,no
19,1,4,1,2,3,1,1,19,0,19,19,0,no
11,2,1,1,0,2,1,1,11,0,11,11,0,no
14,2,1,1,1,2,1,1,14,0,14,14,0,no
4,0,0,0,0,0,1,1,4,0,4,4,0,no
4,1,0,0,0,0,1,1,4,0,4,4,0,no
9,1,1,1,1,0,2,1,10,1,9,5.5,0,no
9,3,1,1,1,0,2,1,10,1,9,5.5,0,no
3,4,0,0,0,0,1,1,3,0,3,3,0,no
3,0,0,0,0,0,2,1,4,1,3,2.5,0,no
7,1,0,0,0,0,1,1,7,0,7,7,0,no
34,1,7,2,2,8,3,2,41,7,40,16,0,no
10,4,1,1,1,1,1,1,10,0,10,10,0,no
14,1,2,2,4,1,1,1,14,0,14,14,0,no
24,1,2,1,4,5,2,1,28,4,28,16,0,no
15,2,2,1,5,1,2,1,16,1,15,8.5,0,no
16,2,2,2,1,1,2,2,17,1,16,9,0,no
88,1,14,3,4,12,2,1,88,0,85,44,0,no
13,4,1,2,0,1,1,1,0,5,5,5,0,no
10,4,1,1,0,2,1,1,10,0,10,10,0,no
32,1,5,2,1,6,1,1,32,0,32,32,0,yes
14,1,1,2,0,3,1,1,14,0,14,14,0,no
3,2,0,0,1,0,0,0,0,0,0,0,0,no
6,1,0,0,0,1,1,1,6,0,6,6,0,yes
11,2,2,2,0,2,0,0,0,0,0,0,0,no
25,2,3,3,0,3,1,1,10,0,10,10,0,no
28,3,4,4,0,4,1,1,12,0,12,12,0,yes
3,0,0,0,0,0,1,1,3,0,3,3,0,no
9,2,1,1,0,2,1,1,9,0,9,9,0,yes
9,1,1,1,0,1,1,1,9,0,9,9,0,no
3,0,0,0,0,0,0,0,0,0,0,0,0,no
21,2,4,3,0,6,1,1,21,0,21,21,0,no
17,1,1,1,0,6,1,1,1,1,2,2,0,yes
25,2,5,3,0,1,1,1,25,0,25,25,0,yes
3,1,0,0,0,0,1,1,0,1,1,1,0,no
9,2,1,1,0,1,2,1,10,1,9,5.5,0,no
5,1,0,0,0,0,0,0,0,0,0,0,0,no
11,2,1,2,0,1,0,0,0,0,0,0,0,yes
10,4,0,1,0,1,1,1,10,0,10,10,0,no
11,1,2,1,0,0,1,1,11,0,11,11,0,no
65,0,11,6,1,9,4,3,19,2,15,5.25,0,no
16,0,3,1,1,1,3,3,5,1,4,2,0,no
6,1,1,1,1,0,1,1,6,0,6,6,0,no
18,1,5,3,0,0,1,1,13,0,13,13,0,no
3,0,0,0,0,0,0,0,0,0,0,0,0,no
5,0,1,1,0,0,0,0,0,0,0,0,0,no
6,5,1,1,0,0,0,0,0,0,0,0,0,no
0,1,0,0,1,0,1,1,0,0,0,0,0,no
4,2,0,0,0,0,0,0,0,0,0,0,0,no
3,0,0,0,0,0,0,0,0,0,0,0,0,no
23,0,4,4,2,7,1,1,1,1,2,2,0,no
20,0,3,2,2,5,1,1,3,0,3,3,0,no
4,2,0,0,0,0,0,0,0,0,0,0,0,no
5,0,0,0,0,1,1,1,5,0,5,5,0,no
5,2,0,0,0,0,0,0,0,0,0,0,0,no
3,0,0,0,0,0,0,0,0,0,0,0,0,no
3,0,0,0,0,0,0,0,0,0,0,0,0,no
3,1,0,0,0,0,0,0,0,0,0,0,0,no
3,0,0,0,0,0,0,0,0,0,0,0,0,no
7,5,0,0,0,0,0,0,0,0,0,0,0,no
7,1,1,1,0,0,1,1,7,0,7,7,0,no
52,0,10,4,1,5,3,2,27,2,25,9.666667,0,no
7,0,1,1,0,0,1,1,7,0,7,7,0,no
7,1,1,1,0,0,1,1,7,0,7,7,0,no
6,2,0,0,0,0,0,0,0,0,0,0,0,no
14,1,2,1,0,0,0,0,0,0,0,0,0,no
3,0,0,0,0,0,1,1,3,0,3,3,0,no
3,0,0,0,0,0,0,0,0,0,0,0,0,no
54,2,12,6,0,7,1,1,2,0,2,2,0,no
3,0,0,0,0,0,0,0,0,0,0,0,0,no
24,1,4,2,0,2,0,0,0,0,0,0,0,no
15,2,2,2,0,2,1,1,15,0,15,15,0,no
13,2,1,1,0,2,1,1,1,1,2,2,0,no
15,1,2,1,0,3,0,0,0,0,0,0,0,no
49,0,9,4,5,10,1,1,4,0,4,4,0,no
9,1,2,2,0,2,0,0,0,0,0,0,0,no
5,0,1,1,0,0,0,0,0,0,0,0,0,no
19,1,2,1,1,3,0,0,0,0,0,0,0,no
22,1,4,2,3,3,0,0,0,0,0,0,0,yes
3,0,0,0,0,0,0,0,0,0,0,0,0,no
39,3,6,1,2,11,0,0,0,0,0,0,0,no
14,2,1,2,2,2,0,0,0,0,0,0,0,no
10,0,1,1,0,0,2,1,6,1,5,3.5,0,no
7,0,0,1,0,0,0,0,0,0,0,0,0,no
3,0,0,0,0,0,0,0,0,0,0,0,0,no
30,0,7,4,2,5,1,1,30,0,30,30,0,no
12,0,1,1,0,0,1,1,12,0,12,12,0,no
17,0,3,2,0,0,4,2,9,75,73,21,0,no
7,1,1,1,0,0,1,1,7,0,7,7,0,no
12,1,1,1,0,1,1,1,4,0,4,4,0,no
6,0,1,1,0,0,0,0,0,0,0,0,0,yes
3,0,0,0,0,0,0,0,0,0,0,0,0,no
3,2,0,0,0,0,1,1,0,8,8,8,0,no
12,2,2,2,0,2,1,1,12,0,12,12,0,yes
18,0,3,1,1,4,1,1,18,0,18,18,0,no
10,0,2,2,0,0,1,1,1,1,2,2,0,yes
7,0,1,1,0,1,0,0,0,0,0,0,0,yes
3,0,0,0,0,0,0,0,0,0,0,0,0,no
19,2,3,3,0,3,0,0,0,0,0,0,0,yes
12,1,1,1,0,2,1,1,12,0,12,12,0,no
15,2,1,1,2,0,1,1,15,0,15,15,0,no
9,1,2,1,1,1,0,0,0,0,0,0,0,no
23,1,1,1,1,1,1,1,1,1,2,2,0,yes
95,1,20,5,1,18,1,1,1,1,2,2,0,yes
19,0,7,7,0,5,1,1,0,3,3,3,0,no
3,0,0,0,0,0,1,1,3,0,3,3,0,no
19,2,2,2,0,3,1,1,1,1,2,2,0,no
38,2,8,3,0,5,2,1,2,2,2,2,0,no
7,3,1,1,1,1,0,0,0,0,0,0,0,no
20,1,4,3,0,4,1,1,1,1,2,2,0,no
13,3,2,2,0,1,0,0,0,0,0,0,0,no
12,1,0,0,1,3,0,0,0,0,0,0,0,no
3,0,0,0,0,0,1,1,3,0,3,3,0,no
52,2,9,3,1,6,2,2,2,2,2,2,0,no
3,1,0,0,1,0,0,0,0,0,0,0,0,no
17,3,2,1,0,3,1,1,1,1,2,2,0,no
8,2,1,1,1,1,0,0,0,0,0,0,0,no
19,1,3,2,0,2,0,0,0,0,0,0,0,yes
26,5,7,2,0,4,1,1,1,1,2,2,0,no
3,2,0,0,0,0,0,0,0,0,0,0,0,no
5,3,0,0,0,0,0,0,0,0,0,0,0,no
11,1,1,1,0,3,0,0,0,0,0,0,0,no
2,0,0,0,1,0,0,0,0,0,0,0,0,no
3,1,0,0,0,0,0,0,0,0,0,0,0,no
3,0,0,0,0,0,0,0,0,0,0,0,0,no
3,0,0,0,0,0,1,1,3,0,3,3,0,no
3,0,0,0,0,0,0,0,0,0,0,0,0,no
3,0,0,0,0,0,0,0,0,0,0,0,0,no
3,0,0,0,0,0,1,1,3,0,3,3,0,no
39,1,8,6,0,8,1,1,1,1,2,2,0,yes
3,0,0,0,0,0,1,1,3,0,3,3,0,no
3,1,0,0,0,0,0,0,0,0,0,0,0,no
5,2,0,0,0,0,1,1,5,0,5,5,0,no
5,0,1,1,0,0,0,0,0,0,0,0,0,no
4,1,0,0,0,1,0,0,0,0,0,0,0,no
3,0,0,0,0,0,0,0,0,0,0,0,0,no
8,0,2,2,0,1,1,1,1,1,2,2,0,no
3,0,0,0,0,0,0,0,0,0,0,0,0,no
4,1,0,0,0,0,0,0,0,0,0,0,0,no
5,0,0,0,0,0,0,0,0,0,0,0,0,no
3,0,0,0,0,0,0,0,0,0,0,0,0,no
3,0,0,0,0,0,0,0,0,0,0,0,0,no
3,0,0,0,0,0,0,0,0,0,0,0,0,no
3,0,0,0,0,0,0,0,0,0,0,0,0,no
3,0,0,0,0,0,0,0,0,0,0,0,0,no
3,0,0,0,0,0,0,0,0,0,0,0,0,no
10,1,2,2,0,0,0,0,0,0,0,0,0,no
6,0,1,1,0,0,0,0,0,0,0,0,0,no
3,1,0,0,1,0,0,0,0,0,0,0,0,no
6,1,1,1,0,0,1,1,1,1,2,2,0,no
3,1,0,0,0,0,0,0,0,0,0,0,0,no
6,2,0,0,0,0,0,0,0,0,0,0,0,no
9,0,1,0,0,1,0,0,0,0,0,0,0,no
3,0,0,0,0,0,0,0,0,0,0,0,0,no
3,0,0,0,0,0,0,0,0,0,0,0,0,no
6,0,0,0,0,0,0,0,0,0,0,0,0,no
2,1,0,0,0,0,0,0,0,0,0,0,0,no
2,0,0,0,0,0,0,0,0,0,0,0,0,no
3,3,0,0,0,0,0,0,0,0,0,0,0,no
3,3,0,0,0,0,0,0,0,0,0,0,0,no
3,0,0,0,0,0,0,0,0,0,0,0,0,no
3,1,0,0,0,0,0,0,0,0,0,0,0,no
3,1,0,0,0,0,0,0,0,0,0,0,0,no
3,2,0,0,0,0,0,0,0,0,0,0,0,no
3,3,0,0,0,0,0,0,0,0,0,0,0,no
3,0,0,0,0,0,0,0,0,0,0,0,0,no
3,3,0,0,0,0,0,0,0,0,0,0,0,no
3,3,0,0,0,0,0,0,0,0,0,0,0,no
3,1,0,0,0,0,0,0,0,0,0,0,0,no
3,3,0,0,0,0,0,0,0,0,0,0,0,no
3,1,0,0,0,0,0,0,0,0,0,0,0,no
3,2,0,0,0,0,0,0,0,0,0,0,0,no
3,3,0,0,0,0,0,0,0,0,0,0,0,no
0,4,0,0,0,0,0,0,0,0,0,0,0,no
0,3,0,0,0,0,0,0,0,0,0,0,0,no
0,3,0,0,0,0,0,0,0,0,0,0,0,no
0,2,0,0,0,0,0,0,0,0,0,0,0,no
0,3,0,0,1,0,0,0,0,0,0,0,0,no
0,4,0,0,0,0,0,0,0,0,0,0,0,no
0,3,0,0,0,0,1,1,0,0,0,0,0,no
0,2,0,0,0,0,0,0,0,0,0,0,0,no
12,1,1,1,0,0,1,1,12,0,12,12,0,no
4,2,0,0,0,0,1,1,4,0,4,4,0,no
12,3,1,1,0,0,2,1,12,0,11,6,0,no
3,1,0,0,0,0,1,1,0,9,9,9,0,no
3,6,0,0,0,0,0,0,0,0,0,0,0,no
3,3,0,0,0,0,0,0,0,0,0,0,0,no
3,5,0,0,0,0,2,1,2,2,2,2,0,no
3,5,0,0,0,0,2,1,4,1,3,2.5,0,no
13,0,2,1,0,0,2,1,13,0,12,6.5,0,no
3,2,0,0,0,0,0,0,0,0,0,0,0,no
11,4,1,1,1,1,1,1,1,1,2,2,0,no
10,1,1,1,1,1,1,1,1,1,2,2,0,no
3,0,0,0,0,0,0,0,0,0,0,0,0,no
3,0,0,0,0,0,1,1,3,0,3,3,0,no
3,0,0,0,0,0,1,1,3,0,3,3,0,no
3,0,0,0,0,0,0,0,0,0,0,0,0,no
9,3,1,1,1,1,1,1,1,1,2,2,0,no
9,3,1,1,1,1,2,1,10,1,9,5.5,0,no
5,1,1,1,0,0,0,0,0,0,0,0,0,no
6,3,0,0,0,1,1,1,6,0,6,6,0,no
5,2,0,0,0,1,1,1,5,0,5,5,0,no
7,3,0,0,1,1,1,1,7,0,7,7,0,no
13,1,1,1,0,0,1,1,13,0,13,13,0,no
3,1,0,0,0,0,2,1,11,8,11,9.5,0,no
13,4,1,1,2,0,2,1,14,1,13,7.5,0,no
4,0,0,0,0,0,1,1,4,0,4,4,0,no
19,5,0,0,1,2,2,1,26,7,26,16.5,0,no
28,4,4,3,2,3,1,1,28,0,28,28,0,no
3,1,0,0,1,0,1,1,3,0,3,3,0,no
3,1,0,0,1,0,1,1,3,0,3,3,0,no
9,2,1,1,1,1,1,1,9,0,9,9,0,no
23,2,2,1,2,2,2,2,23,0,19,11.5,0,no
53,4,10,2,3,11,1,1,53,0,53,53,0,yes
25,6,6,2,1,7,2,2,26,1,25,13.5,0,yes
28,4,3,2,2,3,3,2,29,1,26,10,0,no
17,4,3,2,2,2,2,1,21,4,21,12.5,0,no
8,3,1,1,2,0,1,1,8,0,8,8,0,no
43,3,9,2,3,9,3,2,66,23,65,29.666667,0,yes
3,2,0,0,0,0,1,1,3,0,3,3,0,no
23,4,3,2,2,3,3,2,24,1,21,8.333333,0,no
10,5,2,2,1,0,2,2,10,0,8,5,0,no
9,2,0,0,2,1,2,2,9,0,8,4.5,0,no
5,1,1,1,0,0,1,1,5,0,5,5,0,no
3,1,0,0,0,0,1,1,3,0,3,3,0,no
3,3,0,0,0,0,1,1,3,0,3,3,0,no
7,5,0,0,0,0,1,1,7,0,7,7,0,no
12,3,1,1,1,2,1,1,12,0,12,12,0,yes
13,4,2,2,3,0,1,1,13,0,13,13,0,yes
4,0,0,0,0,0,2,2,4,0,3,2,0,no
4,1,0,0,0,0,0,0,0,0,0,0,0,no
3,1,0,0,0,0,0,0,0,0,0,0,0,no
22,2,4,2,1,3,0,0,0,0,0,0,0,no
3,1,0,0,1,0,0,0,0,0,0,0,0,no
3,0,0,0,0,0,0,0,0,0,0,0,0,no
3,1,0,0,0,0,0,0,0,0,0,0,0,no
20,4,3,2,1,3,0,0,0,0,0,0,0,no
3,0,0,0,0,0,0,0,0,0,0,0,0,no
3,1,0,0,0,0,0,0,0,0,0,0,0,no
18,0,2,1,0,2,0,0,0,0,0,0,0,no
9,4,1,1,0,0,0,0,0,0,0,0,0,no
3,0,0,0,0,0,0,0,0,0,0,0,0,no
3,1,0,0,0,0,0,0,0,0,0,0,0,no
3,0,0,0,0,0,0,0,0,0,0,0,0,no
7,0,0,0,0,2,0,0,0,0,0,0,0,no
3,3,0,0,0,0,0,0,0,0,0,0,0,no
4,1,0,0,0,0,0,0,0,0,0,0,0,no
17,6,0,0,0,3,1,1,17,0,17,17,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,no
10,3,3,1,0,0,0,0,0,0,0,0,0,no
3,1,0,0,0,0,0,0,0,0,0,0,0,no
0,3,0,0,0,0,0,0,0,0,0,0,0,no
3,1,0,0,0,0,0,0,0,0,0,0,0,no
3,2,0,0,0,0,0,0,0,0,0,0,0,no
24,3,4,2,2,6,0,0,0,0,0,0,0,no
5,2,0,0,0,0,0,0,0,0,0,0,0,no
8,1,0,0,1,3,0,0,0,0,0,0,0,yes
4,2,0,0,0,0,0,0,0,0,0,0,0,no
0,1,0,0,1,0,0,0,0,0,0,0,0,no
0,2,0,0,1,0,0,0,0,0,0,0,0,no
0,2,0,0,1,0,0,0,0,0,0,0,0,no
8,7,0,0,0,0,0,0,0,0,0,0,0,no
3,0,0,0,0,0,1,1,1,1,2,2,0,yes
36,2,5,1,6,2,1,1,36,0,36,36,0,yes
4,4,0,0,0,0,1,1,1,0,1,1,0,no
6,4,0,0,0,0,0,0,0,0,0,0,0,no
3,0,0,0,0,0,1,1,1,1,2,2,0,no
3,3,0,0,0,0,0,0,0,0,0,0,0,no
4,2,0,0,0,0,0,0,0,0,0,0,0,no
10,0,1,1,0,1,1,1,1,1,2,2,0,no
3,0,0,0,0,0,0,0,0,0,0,0,0,no
3,0,0,0,0,0,0,0,0,0,0,0,0,no
3,0,0,0,0,0,0,0,0,0,0,0,0,no
3,0,0,0,0,0,0,0,0,0,0,0,0,no
17,5,1,1,0,0,2,1,20,3,20,11.5,0,no
3,1,0,0,0,0,2,2,1,6,5,3.5,0,no
13,3,2,1,1,1,3,2,13,0,8,4.333333,0,no
4,1,0,0,0,0,0,0,0,0,0,0,0,no
3,3,0,0,0,0,1,1,0,26,26,26,0,no
4,5,0,0,1,1,3,2,37,33,33,23.333333,0,no
3,2,0,0,0,0,1,1,1,1,2,2,0,no
26,3,2,1,1,0,1,1,26,0,26,26,0,yes
11,4,2,1,0,0,0,0,0,0,0,0,0,no
3,2,0,0,0,0,1,1,3,0,3,3,0,yes
4,5,0,0,1,1,1,1,4,0,4,4,0,no
9,0,1,1,0,1,2,1,4,1,3,2.5,0,no
32,6,4,2,2,3,1,1,32,0,32,32,0,no
6,1,1,1,0,1,0,0,0,0,0,0,0,no
3,0,0,0,0,0,0,0,0,0,0,0,0,no
3,0,0,0,0,0,0,0,0,0,0,0,0,no
3,0,0,0,0,0,0,0,0,0,0,0,0,no
3,0,0,0,0,0,0,0,0,0,0,0,0,no
3,0,0,0,0,0,0,0,0,0,0,0,0,no
3,0,0,0,0,0,0,0,0,0,0,0,0,no
3,0,0,0,0,0,0,0,0,0,0,0,0,no
3,0,0,0,0,0,0,0,0,0,0,0,0,no
3,0,0,0,0,0,0,0,0,0,0,0,0,no
38,2,5,1,2,3,1,1,1,0,1,1,0,yes
3,1,0,0,0,0,1,1,1,1,2,2,0,yes
10,2,1,1,0,1,1,1,1,1,2,2,0,no
12,0,2,1,1,1,2,1,13,1,12,7,0,no
32,1,4,2,1,0,1,1,25,0,25,25,0,yes
18,1,2,1,1,0,2,1,19,1,18,10,0,yes
11,0,2,2,0,1,0,0,0,0,0,0,0,no
6,2,1,1,0,0,2,1,4,1,3,2.5,0,no
14,5,2,1,1,0,1,1,14,0,14,14,0,yes
21,0,2,1,1,0,2,2,2,2,2,2,0,yes
14,0,1,1,1,3,2,2,2,2,2,2,0,yes
9,4,1,1,1,0,1,1,2,0,2,2,0,no
16,4,2,1,1,1,2,1,5,0,4,2.5,0,yes
20,4,3,2,1,0,2,1,5,0,4,2.5,0,yes
7,2,1,1,0,0,1,1,7,0,7,7,0,no
11,0,2,1,1,1,1,1,1,0,1,1,0,no
3,0,0,0,0,0,1,1,3,0,3,3,0,no
3,0,0,0,0,0,1,1,3,0,3,3,0,no
3,0,0,0,0,0,1,1,3,0,3,3,0,no
3,0,0,0,1,0,1,1,3,0,3,3,0,yes
3,1,0,0,0,0,1,1,3,0,3,3,0,no
3,1,0,0,0,0,1,1,3,0,3,3,0,no
5,3,1,1,1,0,1,1,3,0,3,3,0,no
5,4,0,0,0,1,1,1,5,0,5,5,0,no
8,3,0,0,1,1,1,1,8,0,8,8,0,no
9,4,0,0,1,1,1,1,9,0,9,9,0,no
8,3,0,0,1,1,1,1,8,0,8,8,0,no
3,0,0,0,0,0,0,0,0,0,0,0,0,no
7,2,0,0,1,0,1,1,1,0,1,1,0,no
5,2,0,0,1,0,0,0,0,0,0,0,0,no
3,1,0,0,0,0,0,0,0,0,0,0,0,no
3,1,0,0,1,0,0,0,0,0,0,0,0,no
3,0,0,0,0,0,0,0,0,0,0,0,0,no
8,1,1,1,0,1,0,0,0,0,0,0,0,no
3,0,0,0,0,0,1,1,3,0,3,3,0,no
3,0,0,0,0,0,1,1,1,1,2,2,0,no
3,0,0,0,0,0,1,1,3,0,3,3,0,no
43,2,8,3,7,8,2,2,43,0,32,21.5,0,no
19,0,4,2,0,3,1,1,1,0,1,1,0,no
3,1,0,0,0,0,1,1,3,0,3,3,0,no
9,6,0,0,0,0,1,1,9,0,9,9,0,no
3,0,0,0,0,0,1,1,1,1,2,2,0,no
