@relation training

@attribute LOC numeric
@attribute NumParameters numeric
@attribute NumBranches numeric
@attribute NestingDepth numeric
@attribute NumCodeSmells numeric
@attribute NumLocalVariables numeric
@attribute NumRevisions numeric
@attribute NumAuthors numeric
@attribute TotalStmtAdded numeric
@attribute TotalStmtDeleted numeric
@attribute MaxChurn numeric
@attribute AvgChurn numeric
@attribute HasFixHistory numeric
@attribute IsBuggy {no,yes}

@data
4,2,0,0,0,1,4,4,16,0,4,4,1,no
3,1,0,0,0,0,4,4,12,0,3,3,1,no
19,1,2,2,0,5,4,4,76,0,19,19,1,no
5,0,0,0,0,1,4,4,20,0,5,5,1,no
3,3,0,0,0,0,4,4,12,0,3,3,1,no
4,0,0,0,0,0,4,4,16,0,4,4,1,no
2,1,0,0,1,0,4,4,8,0,2,2,1,no
2,1,0,0,1,0,4,4,8,0,2,2,1,no
3,1,0,0,0,0,4,4,12,0,3,3,1,no
3,1,0,0,0,0,4,4,12,0,3,3,1,no
3,0,0,0,1,0,4,4,12,0,3,3,1,no
20,2,4,3,0,1,4,4,80,0,20,20,1,no
3,1,0,0,0,0,4,4,12,0,3,3,1,no
14,1,1,1,0,2,4,4,56,0,14,14,1,no
10,3,0,0,0,5,4,4,40,0,10,10,1,no
5,3,0,0,0,1,4,4,20,0,5,5,1,no
5,0,0,0,1,2,4,4,20,0,5,5,1,no
9,0,1,1,0,4,4,4,36,0,9,9,1,no
13,1,2,1,0,3,4,4,52,0,13,13,1,no
10,1,1,1,1,3,4,4,40,0,10,10,1,no
9,1,1,1,0,1,4,4,36,0,9,9,1,no
4,1,0,0,0,0,4,4,16,0,4,4,1,no
10,2,1,1,2,3,4,4,40,0,10,10,1,no
17,1,3,2,0,3,4,4,68,0,17,17,1,no
3,0,0,0,0,0,4,4,12,0,3,3,1,no
3,3,0,0,0,0,4,4,12,0,3,3,1,no
4,1,0,0,0,0,4,4,16,0,4,4,1,no
3,1,0,0,0,0,4,4,12,0,3,3,1,no
18,1,1,1,0,3,4,4,72,0,18,18,1,no
4,3,0,0,0,0,4,4,16,0,4,4,1,no
4,0,0,0,0,1,4,4,16,0,4,4,1,no
2,1,0,0,0,0,4,4,8,0,2,2,1,no
3,1,0,0,0,0,4,4,12,0,3,3,1,no
3,1,0,0,0,0,4,4,12,0,3,3,1,no
6,2,1,1,0,2,4,4,24,0,6,6,1,no
3,1,0,0,0,0,4,4,12,0,3,3,1,no
9,2,1,1,1,2,4,4,36,0,9,9,1,no
3,1,0,0,0,0,4,4,12,0,3,3,1,no
39,2,8,5,0,18,4,4,156,0,39,39,1,no
5,2,0,0,0,1,4,4,20,0,5,5,1,no
22,1,2,1,0,6,4,4,88,0,22,22,1,no
4,3,0,0,0,0,4,4,16,0,4,4,1,no
5,0,0,0,0,1,4,4,20,0,5,5,1,no
2,1,0,0,0,0,4,4,8,0,2,2,1,no
2,1,0,0,0,0,4,4,8,0,2,2,1,no
3,1,0,0,0,0,4,4,12,0,3,3,1,no
13,2,2,1,1,3,4,4,52,0,13,13,1,no
2,1,0,0,0,0,4,4,8,0,2,2,1,no
39,2,8,5,0,18,4,4,156,0,39,39,1,no
5,2,0,0,0,1,4,4,20,0,5,5,1,no
21,1,2,1,0,6,4,4,84,0,21,21,1,no
3,1,0,0,0,0,4,4,12,0,3,3,1,no
5,2,0,0,0,2,4,4,20,0,5,5,1,no
13,1,0,0,0,5,4,4,52,0,13,13,1,no
3,3,0,0,0,0,4,4,12,0,3,3,1,no
16,1,0,0,0,0,4,4,64,0,16,16,1,no
3,1,0,0,0,0,4,4,12,0,3,3,1,no
18,1,1,1,0,3,4,4,72,0,18,18,1,no
16,1,0,0,0,9,4,4,64,0,16,16,1,no
10,2,2,2,0,4,4,4,40,0,10,10,1,no
3,1,0,0,0,0,4,4,12,0,3,3,1,no
10,2,2,2,0,4,4,4,40,0,10,10,1,no
3,1,0,0,0,0,4,4,12,0,3,3,1,no
4,4,0,0,0,0,4,4,16,0,4,4,1,no
3,1,0,0,0,0,4,4,12,0,3,3,1,no
3,0,0,0,0,0,4,4,12,0,3,3,1,no
3,1,0,0,0,0,4,4,12,0,3,3,1,no
4,4,0,0,0,0,4,4,16,0,4,4,1,no
3,1,0,0,0,0,4,4,12,0,3,3,1,no
3,0,0,0,0,0,4,4,12,0,3,3,1,no
3,1,0,0,0,0,4,4,12,0,3,3,1,no
8,0,0,0,0,1,4,4,32,0,8,8,1,no
19,1,2,2,0,6,4,4,76,0,19,19,1,no
3,3,0,0,0,0,4,4,12,0,3,3,1,no
4,1,0,0,0,0,4,4,16,0,4,4,1,no
3,1,0,0,0,0,4,4,12,0,3,3,1,no
25,1,1,1,0,6,14,8,110,10,25,8.571429,1,no
5,0,0,0,0,1,4,4,20,0,5,5,1,no
10,0,0,0,0,4,4,4,40,0,10,10,1,no
3,0,0,0,0,0,4,4,12,0,3,3,1,no
3,0,0,0,0,0,4,4,12,0,3,3,1,no
19,1,3,1,2,3,4,4,76,0,19,19,1,no
7,1,0,0,0,0,4,4,28,0,7,7,1,no
26,1,3,2,0,8,4,4,104,0,26,26,1,no
5,0,0,0,0,1,4,4,20,0,5,5,1,no
12,0,0,0,0,5,4,4,48,0,12,12,1,no
3,0,0,0,0,0,4,4,12,0,3,3,1,no
3,0,0,0,0,0,4,4,12,0,3,3,1,no
19,1,3,1,2,3,4,4,76,0,19,19,1,no
7,1,0,0,0,0,4,4,28,0,7,7,1,no
19,1,1,1,0,4,4,4,76,0,19,19,1,no
3,3,0,0,0,0,4,4,12,0,3,3,1,no
11,1,2,2,2,3,4,4,44,0,11,11,1,no
3,1,0,0,0,0,4,4,12,0,3,3,1,no
19,1,1,1,0,3,9,8,81,5,19,9.555556,1,no
7,0,1,1,0,0,4,4,28,0,7,7,1,no
7,1,1,1,0,0,4,4,28,0,7,7,1,no
7,2,1,1,0,0,4,4,28,0,7,7,1,no
7,3,1,1,0,0,4,4,28,0,7,7,1,no
3,0,0,0,0,0,4,4,12,0,3,3,1,no
8,3,0,0,0,0,4,4,32,0,8,8,1,no
11,0,2,1,0,1,4,4,44,0,11,11,1,no
5,1,0,0,0,2,4,4,20,0,5,5,1,no
4,1,0,0,0,1,4,4,16,0,4,4,1,no
3,1,0,0,0,0,4,4,12,0,3,3,1,no
6,2,1,1,0,2,4,4,24,0,6,6,1,no
3,1,0,0,0,0,4,4,12,0,3,3,1,no
9,2,1,1,1,2,4,4,36,0,9,9,1,no
3,1,0,0,0,0,4,4,12,0,3,3,1,no
4,1,0,0,0,0,4,4,16,0,4,4,1,no
3,0,1,0,0,0,4,4,12,0,3,3,1,no
3,0,0,0,0,0,4,4,12,0,3,3,1,no
7,0,1,1,0,2,4,4,28,0,7,7,1,no
55,2,9,6,3,26,14,8,230,10,55,17.142857,1,no
5,2,0,0,0,1,4,4,20,0,5,5,1,no
93,1,18,7,1,24,4,4,372,0,93,93,1,no
42,2,12,7,0,12,4,4,168,0,42,42,1,no
4,2,0,0,0,0,4,4,16,0,4,4,1,no
12,1,2,1,0,2,4,4,48,0,12,12,1,no
9,1,1,1,0,0,4,4,36,0,9,9,1,no
4,4,0,0,0,0,4,4,16,0,4,4,1,no
3,1,0,0,0,0,4,4,12,0,3,3,1,no
3,0,0,0,0,0,4,4,12,0,3,3,1,no
3,1,0,0,0,0,4,4,12,0,3,3,1,no
4,4,0,0,0,0,4,4,16,0,4,4,1,no
3,1,0,0,0,0,4,4,12,0,3,3,1,no
17,0,2,2,0,2,4,4,68,0,17,17,1,no
3,1,0,0,0,0,4,4,12,0,3,3,1,no
13,1,0,0,0,4,4,4,52,0,13,13,1,no
4,4,0,0,0,0,4,4,16,0,4,4,1,no
7,1,1,1,1,2,4,4,28,0,7,7,1,no
19,0,3,3,0,3,4,4,76,0,19,19,1,no
3,1,0,0,0,0,4,4,12,0,3,3,1,no
16,2,3,2,0,5,4,4,64,0,16,16,1,no
3,1,0,0,0,0,4,4,12,0,3,3,1,no
4,4,0,0,0,0,4,4,16,0,4,4,1,no
8,1,1,1,1,3,4,4,32,0,8,8,1,no
17,0,3,3,1,3,4,4,68,0,17,17,1,no
3,1,0,0,0,0,4,4,12,0,3,3,1,no
14,1,0,0,0,4,4,4,56,0,14,14,1,no
3,1,0,0,0,0,4,4,12,0,3,3,1,no
3,0,0,0,1,0,4,4,12,0,3,3,1,no
9,2,1,1,1,2,4,4,36,0,9,9,1,no
3,1,0,0,0,0,4,4,12,0,3,3,1,no
18,1,1,1,0,3,4,4,72,0,18,18,1,yes
3,0,0,0,0,0,4,4,12,0,3,3,1,no
3,1,0,0,0,0,4,4,12,0,3,3,1,no
3,0,0,0,1,0,4,4,12,0,3,3,1,no
3,1,0,0,0,0,4,4,12,0,3,3,1,no
3,0,0,0,1,0,4,4,12,0,3,3,1,no
9,2,1,1,1,2,4,4,36,0,9,9,1,no
3,1,0,0,0,0,4,4,12,0,3,3,1,no
18,1,1,1,0,3,4,4,72,0,18,18,1,no
3,0,0,0,0,0,4,4,12,0,3,3,1,no
3,0,0,0,0,0,4,4,12,0,3,3,1,no
3,0,0,0,0,0,4,4,12,0,3,3,1,no
8,2,1,1,0,0,4,4,32,0,8,8,1,no
0,1,0,0,0,0,4,4,0,0,0,0,1,no
4,1,0,0,0,0,4,4,16,0,4,4,1,no
3,1,0,0,0,0,4,4,12,0,3,3,1,no
5,0,0,0,0,1,4,4,20,0,5,5,1,no
0,0,0,0,0,0,4,4,0,0,0,0,1,no
3,0,0,0,0,0,4,4,12,0,3,3,1,no
3,1,0,0,0,0,4,4,12,0,3,3,1,no
11,2,2,1,0,0,4,4,44,0,11,11,1,no
4,1,0,0,0,1,4,4,16,0,4,4,1,no
3,0,0,0,0,0,4,4,12,0,3,3,1,no
3,0,0,0,0,0,4,4,12,0,3,3,1,no
3,1,0,0,0,0,4,4,12,0,3,3,1,no
3,2,0,0,0,0,4,4,12,0,3,3,1,no
3,2,0,0,0,0,4,4,12,0,3,3,1,no
2,1,0,0,1,0,4,4,8,0,2,2,1,no
3,3,0,0,0,0,4,4,12,0,3,3,1,no
16,1,2,1,0,6,4,4,64,0,16,16,1,no
3,1,0,0,0,0,4,4,12,0,3,3,1,no
3,2,0,0,0,0,4,4,12,0,3,3,1,no
4,3,0,0,0,0,4,4,16,0,4,4,1,no
8,1,1,1,0,0,4,4,32,0,8,8,1,no
9,0,1,1,1,2,4,4,36,0,9,9,1,no
7,2,1,1,0,3,4,4,28,0,7,7,1,no
5,1,0,0,0,1,4,4,20,0,5,5,1,no
3,1,0,0,0,0,4,4,12,0,3,3,1,no
5,0,0,0,0,1,4,4,20,0,5,5,1,no
3,0,0,0,0,0,4,4,12,0,3,3,1,no
5,2,0,0,0,0,4,4,20,0,5,5,1,no
27,3,6,4,2,7,4,4,108,0,27,27,1,no
23,1,5,2,1,7,4,4,92,0,23,23,1,no
3,1,0,0,0,0,4,4,12,0,3,3,1,no
5,2,1,1,0,1,4,4,20,0,5,5,1,no
3,1,0,0,0,0,4,4,12,0,3,3,1,no
3,3,0,0,0,0,4,4,12,0,3,3,1,no
13,1,2,1,1,5,4,4,52,0,13,13,1,no
3,1,0,0,0,0,4,4,12,0,3,3,1,no
5,1,0,0,0,1,4,4,20,0,5,5,1,no
3,0,0,0,0,0,4,4,12,0,3,3,1,no
3,0,0,0,0,0,4,4,12,0,3,3,1,no
3,1,0,0,0,0,4,4,12,0,3,3,1,no
3,2,0,0,0,0,4,4,12,0,3,3,1,no
3,1,0,0,0,0,7,6,15,3,3,2.571429,1,no
4,3,0,0,0,0,4,4,16,0,4,4,1,no
4,0,0,0,0,0,14,8,26,10,4,2.571429,1,no
3,1,0,0,1,0,7,5,21,0,3,3,1,no
3,1,0,0,1,0,7,5,21,0,3,3,1,no
2,2,0,0,1,0,9,6,18,0,2,2,0,no
19,2,4,3,0,5,9,6,171,0,19,19,0,no
3,1,0,0,0,0,9,6,27,0,3,3,0,no
2,0,0,0,1,0,9,6,18,0,2,2,0,no
5,0,0,0,0,1,9,6,45,0,5,5,0,no
3,0,0,0,0,0,9,6,27,0,3,3,0,no
5,3,0,0,0,0,9,6,45,0,5,5,0,no
4,3,0,0,0,0,4,4,16,0,4,4,1,no
6,0,0,0,0,2,4,4,24,0,6,6,1,no
2,1,0,0,1,0,4,4,8,0,2,2,1,no
2,1,0,0,1,0,4,4,8,0,2,2,1,no
3,1,0,0,0,0,4,4,12,0,3,3,1,no
36,3,1,1,4,3,10,8,150,6,36,15.6,1,no
3,1,0,0,0,0,4,4,12,0,3,3,1,no
2,1,0,0,1,0,4,4,8,0,2,2,1,no
2,1,0,0,1,0,4,4,8,0,2,2,1,no
2,2,0,0,1,0,4,4,8,0,2,2,1,no
2,1,0,0,1,0,4,4,8,0,2,2,1,no
2,1,0,0,0,0,4,4,8,0,2,2,1,no
8,0,1,1,0,1,4,4,32,0,8,8,1,no
3,0,0,0,0,0,4,4,12,0,3,3,1,no
5,0,0,0,0,1,4,4,20,0,5,5,1,no
2,1,0,0,1,0,4,4,8,0,2,2,1,no
2,1,0,0,1,0,4,4,8,0,2,2,1,no
3,1,0,0,0,0,4,4,12,0,3,3,1,no
7,5,0,0,0,0,4,4,28,0,7,7,1,no
2,0,0,0,0,0,4,4,8,0,2,2,1,no
6,0,1,1,0,2,4,4,24,0,6,6,1,no
3,0,0,0,0,0,4,4,12,0,3,3,1,no
4,0,0,0,0,1,4,4,16,0,4,4,1,no
3,0,0,0,0,0,4,4,12,0,3,3,1,no
3,0,0,0,0,0,4,4,12,0,3,3,1,no
7,1,1,1,0,0,4,4,28,0,7,7,1,no
0,0,0,0,0,0,4,4,0,0,0,0,1,no
0,0,0,0,0,0,4,4,0,0,0,0,1,no
0,0,0,0,0,0,4,4,0,0,0,0,1,no
6,1,0,0,0,3,4,4,24,0,6,6,1,no
3,0,0,0,0,0,4,4,12,0,3,3,1,no
3,0,0,0,0,0,4,4,12,0,3,3,1,no
3,0,0,0,0,0,4,4,12,0,3,3,1,no
10,1,2,2,0,1,4,4,40,0,10,10,1,no
10,1,2,1,0,1,4,4,40,0,10,10,1,no
7,0,0,0,0,2,4,4,28,0,7,7,1,no
13,0,1,1,0,2,4,4,52,0,13,13,1,no
