VersionIndex,VersionName,MethodFQN,LOC,NumParameters,NumBranches,NestingDepth,NumCodeSmells,NumLocalVariables,NumRevisions,NumAuthors,TotalStmtAdded,TotalStmtDeleted,MaxChurn,AvgChurn,HasFixHistory,Buggy,BodyHash
1,4.0.0,"bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java/MySqlClient#<init>(String,String,String)",15,3,1,1,0,1,1,1,15,0,15,15.0,0,no,43a264d0dee161595bc309677be030c9c0e1418a5741efe5b808b480153d459f
1,4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java/MySqlClient#closeHandle(),3,0,0,0,0,0,1,1,3,0,3,3.0,0,no,c899ec648c7991a17d7d3f662d7440fe4902d8b9fa7b88d1318f51b8bffd8fcb
1,4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java/MySqlClient#main(String[]),19,1,4,1,2,3,1,1,19,0,19,19.0,0,no,45775aaeb0f9719b62ecd21b9ebd3ae103fc811012bc86b07dd2f9b805e6f971
1,4.0.0,"bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java/MySqlClient#writeSameEntry(byte[],int)",11,2,1,1,0,2,1,1,11,0,11,11.0,0,no,a2e1dc2a1ea9023f251a4302b938a471f4e8d72082b65e1982691e5f17ff36bc
1,4.0.0,"bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java/MySqlClient#writeSameEntryBatch(byte[],int)",14,2,1,1,1,2,1,1,14,0,14,14.0,0,no,22ccba416b8a74754e757f0b41809d6c0241b9f05e5158b9d85f541e45dee889
1,4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/TestClient#<init>(),4,0,0,0,0,0,1,1,4,0,4,4.0,0,no,93a090b01f4119de3f4fc7fb1baad3c862ced1998969523e036a1c9c9e94f5e3
1,4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/TestClient#<init>(FileOutputStream),4,1,0,0,0,0,1,1,4,0,4,4.0,0,no,3905594a6695b19dc42b60fa4f4c011fd6421b177c5dc3e904335c3e1cfade4f
1,4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/TestClient#<init>(String),9,1,1,1,1,0,2,1,10,1,9,5.5,0,no,ad534807779bc1bf44c43d58358351ddd0388cc8dddb5d0fd3e9f3cc93c93e0d
1,4.0.0,"bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/TestClient#<init>(String,int,int)",9,3,1,1,1,0,2,1,10,1,9,5.5,0,no,95d57a6f7c77be044999c279d326a4a931c01f95fd9789c9bdd4c40f5ce9e0eb
1,4.0.0,"bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/TestClient#addComplete(int,LedgerHandle,long,Object)",3,4,0,0,0,0,1,1,3,0,3,3.0,0,no,2be2dc66ebfc7945a0559a9e1479d15b6a3f68a2db84cad05b290fd32566965c
1,4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/TestClient#closeHandle(),3,0,0,0,0,0,2,1,4,1,3,2.5,0,no,72937006479bc7f591d25cd1b0607b286bc741e41ea45e865e8a9b48afbafdb0
1,4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/TestClient#getFreshEntryId(int),7,1,0,0,0,0,1,1,7,0,7,7.0,0,no,4629c2bffb8026da775cc8b78cc0afe14ee6b6b0562162eeb0711874afa08130
1,4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/TestClient#main(String[]),34,1,7,2,2,8,3,2,41,7,40,16.0,0,no,8ccbeb7eca1e7f94aec4cfa9e9231956e10df37b5264279c7f78a6d423caa59d
1,4.0.0,"bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/TestClient#readComplete(int,LedgerHandle,Enumeration,Object)",10,4,1,1,1,1,1,1,10,0,10,10.0,0,no,4c392ffee42c1b496a01ebf7a951565c30c5162ba8dfbfafb146ef268f7a4413
1,4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/TestClient#removeEntryId(Integer),14,1,2,2,4,1,1,1,14,0,14,14.0,0,no,9718cd08c9c598891d6e323ab7ccd6fd3f8011f47dfdd1322df492a22ef84926
1,4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/TestClient#writeConsecutiveEntriesBatch(int),24,1,2,1,4,5,2,1,28,4,28,16.0,0,no,a9b29c4f00de5f472200ce7f3504444223b0f949d35a8f2544fabc8dea4d6506
1,4.0.0,"bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/TestClient#writeSameEntryBatch(byte[],int)",15,2,2,1,5,1,2,1,16,1,15,8.5,0,no,c5cb58796935405f42a3797da196a3d7e188c4c0ab18f4391555964537a4767c
1,4.0.0,"bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/TestClient#writeSameEntryBatchFS(byte[],int)",16,2,2,2,1,1,2,2,17,1,16,9.0,0,no,eedc8df2d8e170e399d1d041dd975dcadc4579fbd94cf656d13e8a86d9372001
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie#<init>(ServerConfiguration),88,1,14,3,4,12,2,1,88,0,85,44.0,0,no,ab54db5148d4bd3982143949457b40f689d5d16925291e6205504fa429fbdadc
1,4.0.0,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie#addEntry(ByteBuffer,WriteCallback,Object,byte[])",13,4,1,2,0,1,1,1,0,5,5,5.0,0,no,6e0bba227d9f63c9d57890d1b71b819ae1d5f758ba4cd477e70c55f529f07193
1,4.0.0,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie#addEntryInternal(LedgerDescriptor,ByteBuffer,WriteCallback,Object)",10,4,1,1,0,2,1,1,10,0,10,10.0,0,no,120406f38cde6cbb4c11007134026f9b728cdaf765a11cbec69fe99970b4eff7
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie#checkDirectoryLayoutVersion(File),32,1,5,2,1,6,1,1,32,0,32,32.0,0,yes,ba3ea4dbf8b81e53941a323918fc8a37fd62aaad8f5f467c4186a9e5a5339cee
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie#createDirectoryLayoutVersionFile(File),14,1,1,2,0,3,1,1,14,0,14,14.0,0,no,8d23aec9fb914eaa44bff687ac4f5c61147dd0392ddc445565a54a1c14143ba4
1,4.0.0,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie#createHandle(long,boolean)",3,2,0,0,1,0,0,0,0,0,0,0.0,0,no,72ff1518a01dc876374b891f63f42c4614a8e9a487ae9a9393b1301378bfb32d
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie#fenceLedger(long),6,1,0,0,0,1,1,1,6,0,6,6.0,0,yes,4b2d091191c3174d078b33fc676889ded76766ddd818c49d2f508cbaa2a9def6
1,4.0.0,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie#fullRead(FileChannel,ByteBuffer)",11,2,2,2,0,2,0,0,0,0,0,0.0,0,no,27bfdba3aa7033bd590922d451f5b46050698e98196fa36eabc4b5354dc6c467
1,4.0.0,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie#getHandle(long,boolean)",25,2,3,3,0,3,1,1,10,0,10,10.0,0,no,7a03a9530701a412477c39d2f2e31474608bebafc007a39687479c05b7c4e2e3
1,4.0.0,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie#getHandle(long,boolean,byte[])",28,3,4,4,0,4,1,1,12,0,12,12.0,0,yes,b71f79f942477f06386569f22cf387ab52c1b31dff24490eadb1036b654d9ab8
