MethodName,Tag,LOC,NumParameters,NumBranches,CyclomaticComplexity,NestingDepth,NumCodeSmells,NumLocalVariables
dispatchReceivedMessagesToSubscribers_before,BEFORE,103,3,31,32,5,14,10
dispatchReceivedMessagesToSubscribers_after,AFTER,28,3,7,8,2,2,3
ensureRollbackDrainedOrAbort,HELPER,17,0,4,5,2,0,1
isSubscriberListEmpty,HELPER,6,1,1,2,1,0,0
shouldSkipBySelector,HELPER,26,2,6,7,2,0,2
dispatchToSessionListener,HELPER,18,2,4,5,2,0,1
dispatchToSubscribers,HELPER,33,3,9,10,3,0,3
shouldAckAndSkipForNoLocal,HELPER,10,3,2,3,1,0,0
handleRollbackInDispatch,HELPER,3,1,0,1,0,1,0
isClosed,HELPER,3,0,0,1,0,0,0
createSubscription,HELPER,3,3,0,1,0,3,0
isMessageExpired,HELPER,3,1,0,1,0,1,0
deliverToListener,HELPER,2,4,0,1,0,5,0
getNoLocal,HELPER,3,2,0,1,0,2,0
isLocallyPublished,HELPER,3,1,0,1,0,1,0
close,HELPER,2,0,0,1,0,1,0
getMessageListener,HELPER,0,0,0,1,0,0,0
dispatchReceivedMessagesToSubscribers,AGG_AFTER_PLUS_HELPERS,160,3,33,49,3,16,10
