PROJ,WF_ITER,TR_SIZE,TE_SIZE,MODEL,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,THRESHOLD_STRATEGY,THRESHOLD,PRECISION,RECALL,F1,SPECIFICITY,BALANCED_ACCURACY,G_MEAN,MCC,KAPPA,AUC,TP,FP,TN,FN
BOOKKEEPER,1,2281,2940,RandomForest,none,none,none,DEFAULT,0.5,0.2898550724637681,0.21505376344086022,0.24691358024691362,0.9827889005971198,0.59892133201899,0.4597308470630572,0.22872520082794978,0.22605869939539877,0.8201219166751645,20,49,2798,73
BOOKKEEPER,1,2281,2940,NaiveBayes,none,none,none,DEFAULT,0.5,0.16119402985074627,0.5806451612903226,0.2523364485981308,0.9012996136283807,0.7409723874593517,0.7234191451200034,0.2654643561388451,0.21338450347405144,0.819634703196347,54,281,2566,39
BOOKKEEPER,1,2281,2940,IBk,none,none,none,DEFAULT,0.5,0.2542372881355932,0.3225806451612903,0.28436018957345977,0.9690902704601335,0.6458354578107119,0.5591151622560053,0.26008111866085837,0.2581117394617571,0.6774816728418143,30,88,2759,63
BOOKKEEPER,1,2281,2940,RandomForest,BestFirst (backward),none,none,DEFAULT,0.5,0.2638888888888889,0.20430107526881722,0.23030303030303034,0.9813839128907622,0.5928424940797897,0.44776979426386276,0.21025976778601824,0.2084509908672303,0.808358921483093,19,53,2794,74
BOOKKEEPER,1,2281,2940,NaiveBayes,BestFirst (backward),none,none,DEFAULT,0.5,0.16554054054054054,0.5268817204301075,0.2519280205655527,0.91324200913242,0.7200618647812638,0.69366455938064,0.2559961367386449,0.21409438142795745,0.8210642404190791,49,247,2600,44
BOOKKEEPER,1,2281,2940,IBk,BestFirst (backward),none,none,DEFAULT,0.5,0.25,0.24731182795698925,0.24864864864864866,0.9757639620653319,0.6115378950111605,0.49124125347219316,0.22424550243690003,0.22424201006856667,0.6091282655577839,23,69,2778,70
BOOKKEEPER,1,2281,2940,RandomForest,none,SMOTE,none,DEFAULT,0.5,0.25165562913907286,0.40860215053763443,0.3114754098360656,0.9603090972953987,0.6844556239165166,0.6264059086053981,0.29251246241974793,0.28341994620426647,0.8069105000169958,38,113,2734,55
BOOKKEEPER,1,2281,2940,NaiveBayes,none,SMOTE,none,DEFAULT,0.5,0.13566739606126915,0.6666666666666666,0.22545454545454544,0.86125746399719,0.7639620653319283,0.7577411448936856,0.2550117910424396,0.18247935049523564,0.8177481672841814,62,395,2452,31
BOOKKEEPER,1,2281,2940,IBk,none,SMOTE,none,DEFAULT,0.5,0.19583333333333333,0.5053763440860215,0.2822822822822823,0.9322093431682473,0.7187928436271345,0.6863793045927304,0.27971181632768516,0.2479933217748667,0.7459049518262951,47,193,2654,46
BOOKKEEPER,1,2281,2940,RandomForest,BestFirst (backward),SMOTE,none,DEFAULT,0.5,0.2185430463576159,0.3548387096774194,0.27049180327868855,0.9585528626624517,0.6566957861699355,0.583208076885721,0.24849050026314712,0.240766371573568,0.7753813672947566,33,118,2729,60
