LOC,NumParameters,NumBranches,NestingDepth,NumCodeSmells,NumLocalVariables,NumRevisions,NumAuthors,TotalStmtAdded,TotalStmtDeleted,MaxChurn,AvgChurn,HasFixHistory,Buggy
0.129496,0.090909,0.014568,0.111111,0,0.073171,0.041667,0.2,0.128571,0,0.14876,0.14876,1,no
0.539568,0.090909,0.029136,0.055556,0.02381,0.609756,0.208333,0.4,0.55,0.020619,0.553719,0.130579,1,no
0.035971,0,0.007284,0.055556,0,0,0.041667,0.2,0.035714,0,0.041322,0.041322,0,no
0.05036,0.454545,0.007284,0.055556,0.011905,0,0.041667,0.2,0.05,0,0.057851,0.057851,0,no
0.05036,0.090909,0.007284,0.055556,0,0,0.041667,0.2,0.05,0,0.057851,0.057851,0,no
0.064748,0.454545,0.014568,0.055556,0.011905,0,0.041667,0.2,0.064286,0,0.07438,0.07438,0,no
0.769784,0.090909,0.116545,0.388889,0.02381,0.487805,0.125,0.4,0.771429,0.010309,0.85124,0.300275,1,no
0.446043,0.272727,0.080125,0.277778,0.02381,0.341463,0.041667,0.2,0.442857,0,0.512397,0.512397,0,no
0.093525,0.181818,0.014568,0.111111,0.011905,0.04878,0.041667,0.2,0.092857,0,0.107438,0.107438,0,no
0.302158,0.090909,0.065557,0.333333,0.011905,0.170732,0.083333,0.2,0.307143,0.010309,0.347107,0.181818,0,no
0.035971,0.090909,0.007284,0.055556,0,0,0.041667,0.2,0.035714,0,0.041322,0.041322,0,no
0.122302,0.636364,0.014568,0.111111,0.011905,0.02439,0.041667,0.2,0.121429,0,0.140496,0.140496,0,no
0.079137,0.363636,0.007284,0.055556,0,0.04878,0.083333,0.2,0.078571,0,0.07438,0.045455,0,no
0.043165,0,0.007284,0.055556,0,0.02439,0.041667,0.2,0.042857,0,0.049587,0.049587,0,no
0.985612,0.090909,0.109261,0.166667,0.107143,0.902439,0.25,0.6,1,0.030928,0.859504,0.19697,1,yes
0.079137,0.181818,0.007284,0.055556,0,0.121951,0.041667,0.2,0.078571,0,0.090909,0.090909,0,no
0.460432,0,0.072841,0.166667,0.059524,0.243902,0.125,0.4,0.457143,0,0.495868,0.176309,0,no
0.23741,0.545455,0.021852,0.111111,0.035714,0.170732,0.125,0.6,0.242857,0.010309,0.264463,0.096419,1,no
0.071942,0,0.014568,0.111111,0.02381,0,0.083333,0.2,0.078571,0.010309,0.082645,0.049587,0,no
0.035971,0.090909,0.007284,0.055556,0,0,0.041667,0.2,0.035714,0,0.041322,0.041322,0,no
0.035971,0.090909,0.007284,0.055556,0,0,0.041667,0.2,0.035714,0,0.041322,0.041322,0,no
0.035971,0.090909,0.007284,0.055556,0,0,0.041667,0.2,0.035714,0,0.041322,0.041322,0,no
0.107914,0.272727,0.007284,0.055556,0,0.02439,0.041667,0.2,0.107143,0,0.123967,0.123967,0,no
0.136691,0.090909,0.029136,0.055556,0.02381,0.073171,0.083333,0.4,0.142857,0.010309,0.157025,0.086777,1,no
0.079137,0.181818,0.007284,0.055556,0,0.04878,0.083333,0.4,0.085714,0.010309,0.090909,0.053719,1,no
0.100719,0.181818,0.007284,0.055556,0.011905,0.04878,0.083333,0.4,0.107143,0.010309,0.115702,0.066116,1,no
0.913669,0.090909,0.167534,0.277778,0.083333,1,0.208333,0.6,0.964286,0.082474,0.768595,0.236364,1,no
0.043165,0.363636,0.007284,0.055556,0,0,0.041667,0.2,0.042857,0,0.049587,0.049587,0,no
0.208633,0,0.03642,0.166667,0.02381,0.121951,0.041667,0.2,0.207143,0,0.239669,0.239669,0,no
0.158273,0,0.014568,0.111111,0.02381,0.121951,0.041667,0.2,0.157143,0,0.181818,0.181818,0,no
0.158273,0,0.014568,0.111111,0.011905,0.121951,0.041667,0.2,0.157143,0,0.181818,0.181818,0,no
0.215827,0.090909,0.014568,0.055556,0.011905,0.04878,1.041667,0.6,0.907143,1,0.702479,0.07405,1,no
0.100719,0.363636,0.014568,0.111111,0,0.02439,0.125,0.2,0.035714,0.092784,0.041322,0.038567,0,no
0.18705,0.090909,0.029136,0.111111,0,0.121951,0.166667,0.6,0.192857,0.010309,0.173554,0.057851,1,no
0.568345,0.090909,0.131113,0.222222,0.047619,0.268293,0.25,0.4,0.571429,0.010309,0.421488,0.11157,1,no
0.23741,0.090909,0.043704,0.222222,0.011905,0.073171,0.041667,0.2,0.235714,0,0.272727,0.272727,0,no
0.107914,0.090909,0.029136,0.166667,0.02381,0.04878,0.041667,0.2,0.107143,0,0.123967,0.123967,0,no
0.136691,0.181818,0.007284,0.055556,0,0.097561,0.083333,0.2,0.135714,0,0.107438,0.078512,1,no
0.330935,0.272727,0.080125,0.222222,0.02381,0.146341,0.083333,0.4,0.328571,0,0.305785,0.190083,0,no
0.115108,0.090909,0.021852,0.055556,0,0.097561,0.166667,0.4,0.114286,0,0.066116,0.033058,1,no
0.05036,0.090909,0.007284,0.055556,0,0.04878,0.041667,0.2,0.05,0,0.057851,0.057851,1,no
0.100719,0.090909,0.014568,0.055556,0,0.04878,0.208333,0.8,0.121429,0.030928,0.082645,0.033058,1,no
0.115108,0.181818,0.014568,0.111111,0,0.073171,0.208333,0.4,0.142857,0.041237,0.07438,0.039669,1,yes
0.05036,0.090909,0.007284,0.055556,0,0,0.083333,0.4,0.057143,0.010309,0.066116,0.03719,1,no
0.129496,0.090909,0.007284,0.055556,0,0.146341,0.125,0.4,0.021429,0.020619,0.016529,0.013774,1,no
0.100719,0.181818,0.007284,0.055556,0.011905,0.02439,0.125,0.4,0.178571,0.113402,0.206612,0.099174,1,no
0.323741,0,0.058273,0.277778,0,0.195122,0.291667,0.6,0.7,0.546392,0.669421,0.178276,1,no
0.079137,0.363636,0.007284,0.055556,0,0.02439,0.125,0.2,0.107143,0.041237,0.082645,0.052342,0,no
0.115108,0.090909,0.029136,0.111111,0.011905,0,0.083333,0.4,0.214286,0.14433,0.247934,0.181818,1,no
0.115108,0.090909,0.014568,0.111111,0,0,0.125,0.2,0.128571,0.020619,0.132231,0.055096,0,no
0.079137,0,0.014568,0.055556,0,0,0.333333,0.8,0.178571,0.639175,0.429752,0.089876,1,no
0.230216,0.090909,0.043704,0.166667,0.02381,0,0.5,0.4,0.285714,0.082474,0.190083,0.033058,1,no
0.244604,0,0.03642,0.055556,0.02381,0,0.541667,0.6,0.321429,0.113402,0.157025,0.035601,1,no
0.302158,0,0.072841,0.166667,0.02381,0,0.208333,0.4,0.314286,0.020619,0.272727,0.076033,1,no
0.165468,0,0.029136,0.055556,0,0,0.041667,0.2,0.164286,0,0.190083,0.190083,0,no
0.093525,0.090909,0.007284,0.055556,0.011905,0.02439,0.166667,0.4,0.114286,0.030928,0.115702,0.039256,1,no
0.129496,0,0.029136,0.111111,0,0,0.083333,0.2,0.135714,0.010309,0.14876,0.082645,0,no
0.043165,0.181818,0.007284,0.055556,0,0,0.041667,0.2,0.042857,0,0.049587,0.049587,1,no
0.28777,0.272727,0.058273,0.277778,0,0.195122,0.125,0.4,0.292857,0.010309,0.239669,0.115702,1,no
0.035971,0.090909,0.007284,0.055556,0,0,0.041667,0.2,0.035714,0,0.041322,0.041322,1,no
0.057554,0.090909,0.007284,0.055556,0,0,0.041667,0.2,0.057143,0,0.066116,0.066116,1,no
0.043165,0.181818,0.007284,0.055556,0,0,0.083333,0.4,0.042857,0,0.033058,0.024793,1,no
