LOC,NumParameters,NumBranches,NestingDepth,NumCodeSmells,NumLocalVariables,NumRevisions,NumAuthors,TotalStmtAdded,TotalStmtDeleted,MaxChurn,AvgChurn,HasFixHistory,Buggy
0.021583,0,0,0,0,0,0.041667,0.2,0.021429,0,0.024793,0.024793,0,no
0.028777,0.090909,0,0,0,0.02439,0.041667,0.2,0.028571,0,0.033058,0.033058,0,no
0.021583,0,0,0,0.011905,0,0.083333,0.2,0.028571,0.010309,0.024793,0.020661,0,no
0.021583,0,0,0,0,0,0.041667,0.2,0.021429,0,0.024793,0.024793,0,no
0.021583,0,0,0,0,0,0.041667,0.2,0.021429,0,0.024793,0.024793,0,no
0.021583,0,0,0,0,0,0.041667,0.2,0.021429,0,0.024793,0.024793,0,no
0.021583,0.090909,0,0,0,0,0.041667,0.2,0.021429,0,0.024793,0.024793,0,no
0.028777,0,0,0,0.011905,0,0.041667,0.2,0.028571,0,0.033058,0.033058,0,no
0.028777,0.181818,0,0,0,0,0.083333,0.4,0.035714,0.010309,0.033058,0.024793,0,no
0.021583,0,0,0,0,0,0.041667,0.2,0.021429,0,0.024793,0.024793,0,no
0.028777,0,0,0,0.011905,0,0.041667,0.2,0.028571,0,0.033058,0.033058,0,no
0.05036,0.363636,0,0,0,0,0.041667,0.2,0.05,0,0.057851,0.057851,0,no
0.043165,0.272727,0,0,0,0,0.041667,0.2,0.042857,0,0.049587,0.049587,0,no
0.043165,0.272727,0,0,0,0,0.041667,0.2,0.042857,0,0.049587,0.049587,0,no
0.035971,0.181818,0,0,0,0.04878,0.125,0.2,0.064286,0.041237,0.066116,0.035813,0,no
0.057554,0.363636,0,0,0,0.04878,0.125,0.4,0.078571,0.030928,0.082645,0.038567,0,no
0.021583,0.090909,0,0,0,0,0.083333,0.4,0.028571,0.010309,0.024793,0.020661,1,no
0.021583,0,0,0,0,0,0.041667,0.2,0.021429,0,0.024793,0.024793,1,no
0.021583,0,0,0,0,0,0.041667,0.2,0.021429,0,0.024793,0.024793,0,no
0.223022,0,0,0,0,0,0.125,0.2,0.221429,0,0.165289,0.085399,0,no
0.021583,0,0,0,0,0,0.041667,0.2,0.021429,0,0.024793,0.024793,0,no
0.021583,0,0,0,0,0,0.125,0.4,0.035714,0.020619,0.024793,0.019284,0,no
0.021583,0,0,0,0,0,0.041667,0.2,0.021429,0,0.024793,0.024793,0,no
0.021583,0,0,0,0,0,0,0,0,0,0,0,0,no
0.035971,0.181818,0,0,0,0.02439,0.125,0.4,0.007143,0.072165,0.033058,0.022039,1,no
0.021583,0,0,0,0,0,0.208333,0.6,0.042857,0.154639,0.115702,0.034711,1,no
0.021583,0,0,0,0,0,0.041667,0.2,0.021429,0,0.024793,0.024793,0,no
0.021583,0.090909,0,0,0,0,0.041667,0.2,0.021429,0,0.024793,0.024793,1,no
0.021583,0,0,0,0,0,0.041667,0.2,0.021429,0,0.024793,0.024793,1,no
0.021583,0.181818,0,0,0,0,0.041667,0.2,0.021429,0,0.024793,0.024793,1,no
0.021583,0,0,0,0,0,0.041667,0.2,0.021429,0,0.024793,0.024793,1,no
0.021583,0,0,0,0,0,0.041667,0.2,0.021429,0,0.024793,0.024793,1,no
0.021583,0,0,0,0,0,0.041667,0.2,0.021429,0,0.024793,0.024793,0,no
0.014388,0.090909,0,0,0,0,0.041667,0.2,0.014286,0,0.016529,0.016529,0,no
0.021583,0.090909,0,0,0,0,0.041667,0.2,0.021429,0,0.024793,0.024793,0,no
0.014388,0.090909,0,0,0,0,0.041667,0.2,0.014286,0,0.016529,0.016529,0,no
0.021583,0.090909,0,0,0,0,0.041667,0.2,0.021429,0,0.024793,0.024793,0,no
0.021583,0.090909,0,0,0,0,0.041667,0.2,0.021429,0,0.024793,0.024793,0,no
0.028777,0,0,0,0,0,0.041667,0.2,0.028571,0,0.033058,0.033058,0,no
0.021583,0.090909,0,0,0,0,0.041667,0.2,0.021429,0,0.024793,0.024793,1,no
0.028777,0,0,0,0,0,0.041667,0.2,0.028571,0,0.033058,0.033058,1,no
0.021583,0,0,0,0,0,0.041667,0.2,0.021429,0,0.024793,0.024793,1,no
