Key,CreationDate,ResolutionDate,OpeningVersionIndex,OpeningVersionName,FixedVersionIndex,FixedVersionName,InjectedVersionIndex,InjectedVersionName,AffectedVersionIndices,AffectedVersionNames,NumAssociatedCommits
STORM-181,2013-12-20,2014-01-08,2,0.9.1-incubating,2,0.9.1-incubating,2,0.9.1-incubating,,,0
STORM-198,2014-01-26,2014-02-05,2,0.9.1-incubating,2,0.9.1-incubating,2,0.9.1-incubating,,,0
STORM-237,2014-02-10,2014-02-10,2,0.9.1-incubating,2,0.9.1-incubating,2,0.9.1-incubating,,,0
STORM-187,2013-12-26,2014-03-05,2,0.9.1-incubating,3,0.9.2-incubating,1,0.9.0.1,,,0
STORM-186,2013-12-24,2014-03-12,2,0.9.1-incubating,3,0.9.2-incubating,1,0.9.0.1,,,3
STORM-146,2013-12-15,2014-03-12,2,0.9.1-incubating,3,0.9.2-incubating,1,0.9.0.1,,,0
STORM-259,2014-03-20,2014-03-20,3,0.9.2-incubating,3,0.9.2-incubating,3,0.9.2-incubating,,,1
STORM-273,2014-04-03,2014-04-08,3,0.9.2-incubating,3,0.9.2-incubating,3,0.9.2-incubating,,,3
STORM-275,2014-04-03,2014-04-11,3,0.9.2-incubating,3,0.9.2-incubating,3,0.9.2-incubating,3,0.9.2-incubating,0
STORM-196,2014-01-15,2014-04-11,2,0.9.1-incubating,3,0.9.2-incubating,1,0.9.0.1,,,2
STORM-285,2014-04-16,2014-04-18,3,0.9.2-incubating,3,0.9.2-incubating,3,0.9.2-incubating,,,1
STORM-194,2014-01-12,2014-04-22,2,0.9.1-incubating,3,0.9.2-incubating,1,0.9.0.1,,,2
STORM-290,2014-04-22,2014-04-24,3,0.9.2-incubating,3,0.9.2-incubating,3,0.9.2-incubating,3,0.9.2-incubating,0
STORM-289,2014-04-22,2014-04-24,3,0.9.2-incubating,3,0.9.2-incubating,3,0.9.2-incubating,3,0.9.2-incubating,0
STORM-287,2014-04-19,2014-04-24,3,0.9.2-incubating,3,0.9.2-incubating,3,0.9.2-incubating,,,0
STORM-294,2014-04-23,2014-04-25,3,0.9.2-incubating,3,0.9.2-incubating,3,0.9.2-incubating,3,0.9.2-incubating,2
STORM-286,2014-04-19,2014-04-25,3,0.9.2-incubating,3,0.9.2-incubating,3,0.9.2-incubating,,,0
STORM-281,2014-04-10,2014-04-25,3,0.9.2-incubating,3,0.9.2-incubating,3,0.9.2-incubating,,,1
STORM-238,2014-02-10,2014-04-25,2,0.9.1-incubating,3,0.9.2-incubating,1,0.9.0.1,,,3
STORM-113,2013-12-14,2014-05-02,2,0.9.1-incubating,3,0.9.2-incubating,1,0.9.0.1,,,3
STORM-296,2014-04-25,2014-05-06,3,0.9.2-incubating,3,0.9.2-incubating,3,0.9.2-incubating,3,0.9.2-incubating,5
STORM-298,2014-04-25,2014-05-14,3,0.9.2-incubating,3,0.9.2-incubating,3,0.9.2-incubating,,,4
STORM-280,2014-04-09,2014-05-14,3,0.9.2-incubating,3,0.9.2-incubating,3,0.9.2-incubating,,,4
STORM-295,2014-04-24,2014-05-19,3,0.9.2-incubating,3,0.9.2-incubating,3,0.9.2-incubating,,,6
STORM-264,2014-03-24,2014-05-19,3,0.9.2-incubating,3,0.9.2-incubating,3,0.9.2-incubating,,,2
STORM-303,2014-04-28,2014-05-20,3,0.9.2-incubating,3,0.9.2-incubating,3,0.9.2-incubating,3,0.9.2-incubating,2
STORM-267,2014-03-26,2014-05-20,3,0.9.2-incubating,3,0.9.2-incubating,3,0.9.2-incubating,,,3
STORM-269,2014-03-27,2014-05-21,3,0.9.2-incubating,3,0.9.2-incubating,3,0.9.2-incubating,3,0.9.2-incubating,2
STORM-326,2014-05-19,2014-05-29,3,0.9.2-incubating,3,0.9.2-incubating,1,0.9.0.1,1|2|3,0.9.0.1|0.9.1-incubating|0.9.2-incubating,1
STORM-313,2014-05-07,2014-06-06,3,0.9.2-incubating,3,0.9.2-incubating,3,0.9.2-incubating,,,3
STORM-244,2014-02-25,2014-06-06,3,0.9.2-incubating,3,0.9.2-incubating,3,0.9.2-incubating,,,5
STORM-343,2014-06-09,2014-06-09,3,0.9.2-incubating,3,0.9.2-incubating,3,0.9.2-incubating,,,0
STORM-335,2014-05-30,2014-06-09,3,0.9.2-incubating,3,0.9.2-incubating,3,0.9.2-incubating,,,3
STORM-297,2014-04-25,2014-06-09,3,0.9.2-incubating,3,0.9.2-incubating,3,0.9.2-incubating,,,31
STORM-344,2014-06-10,2014-06-12,3,0.9.2-incubating,3,0.9.2-incubating,3,0.9.2-incubating,,,3
STORM-342,2014-06-09,2014-06-12,3,0.9.2-incubating,3,0.9.2-incubating,3,0.9.2-incubating,,,4
STORM-338,2014-06-04,2014-06-12,3,0.9.2-incubating,3,0.9.2-incubating,3,0.9.2-incubating,3,0.9.2-incubating,2
STORM-352,2014-06-13,2014-06-13,3,0.9.2-incubating,3,0.9.2-incubating,3,0.9.2-incubating,3,0.9.2-incubating,2
STORM-358,2014-06-17,2014-06-17,3,0.9.2-incubating,3,0.9.2-incubating,3,0.9.2-incubating,,,0
STORM-357,2014-06-17,2014-06-17,3,0.9.2-incubating,3,0.9.2-incubating,3,0.9.2-incubating,,,3
STORM-260,2014-03-21,2014-06-18,3,0.9.2-incubating,3,0.9.2-incubating,3,0.9.2-incubating,3,0.9.2-incubating,2
STORM-355,2014-06-17,2014-06-24,3,0.9.2-incubating,3,0.9.2-incubating,3,0.9.2-incubating,3,0.9.2-incubating,4
STORM-183,2013-12-23,2014-06-25,2,0.9.1-incubating,3,0.9.2-incubating,2,0.9.1-incubating,,,7
STORM-372,2014-06-25,2014-06-30,3,0.9.2-incubating,4,0.9.3,3,0.9.2-incubating,3,0.9.2-incubating,3
STORM-370,2014-06-24,2014-06-30,3,0.9.2-incubating,4,0.9.3,3,0.9.2-incubating,3,0.9.2-incubating,3
STORM-395,2014-07-08,2014-07-09,4,0.9.3,4,0.9.3,4,0.9.3,,,2
STORM-351,2014-06-13,2014-07-10,3,0.9.2-incubating,4,0.9.3,3,0.9.2-incubating,4,0.9.3,3
STORM-381,2014-07-01,2014-07-15,4,0.9.3,4,0.9.3,3,0.9.2-incubating,3,0.9.2-incubating,4
