LOC,NumParameters,NumBranches,NestingDepth,NumCodeSmells,NumLocalVariables,NumRevisions,NumAuthors,TotalStmtAdded,TotalStmtDeleted,MaxChurn,AvgChurn,HasFixHistory,Buggy
0.054217,0,0.021277,0.066667,0,0.048387,0,0,0,0,0,0,0,no
0.018072,0.047619,0.010638,0.066667,0,0,0.074074,0.166667,0.013483,0,0.025862,0.025862,0,no
0.057229,0.095238,0.053191,0.2,0,0.048387,0,0,0,0,0,0,0,no
0.081325,0.047619,0.031915,0.133333,0,0.16129,0.074074,0.083333,0,0.004734,0.012931,0.008621,0,no
0.090361,0.047619,0.042553,0.2,0,0.129032,0.074074,0.083333,0,0.004734,0.012931,0.008621,0,no
0.021084,0.095238,0.010638,0.066667,0.007937,0,0,0,0,0,0,0,0,no
0.051205,0.047619,0.021277,0.066667,0,0.145161,0,0,0,0,0,0,0,no
0.027108,0.095238,0.010638,0.066667,0,0.064516,0,0,0,0,0,0,0,no
0.01506,0.095238,0.010638,0.066667,0.007937,0,0,0,0,0,0,0,0,no
0.039157,0.047619,0.021277,0.133333,0,0.032258,0.074074,0.083333,0,0.004734,0.012931,0.008621,0,no
0.078313,0.047619,0.021277,0.133333,0.007937,0.193548,0.074074,0.083333,0,0.004734,0.012931,0.008621,0,no
0.018072,0.047619,0.010638,0.066667,0,0,0,0,0,0,0,0,0,no
0.051205,0,0.021277,0.066667,0,0.032258,0,0,0,0,0,0,0,no
0.078313,0.047619,0.021277,0.133333,0.007937,0.193548,0.074074,0.083333,0,0.004734,0.012931,0.008621,0,no
0.018072,0.047619,0.010638,0.066667,0,0,0,0,0,0,0,0,0,no
0.051205,0,0.021277,0.066667,0,0.032258,0,0,0,0,0,0,0,no
0.126506,0.047619,0.021277,0.066667,0,0.225806,0.074074,0.125,0.002247,0.002367,0.008621,0.008621,1,no
0.11747,0.095238,0.085106,0.333333,0,0.290323,0.037037,0.083333,0.04382,0,0.168103,0.168103,0,no
0.027108,0.047619,0.010638,0.066667,0.007937,0,0,0,0,0,0,0,0,no
0.057229,0.095238,0.053191,0.2,0,0.048387,0,0,0,0,0,0,0,no
0.054217,0.047619,0.021277,0.133333,0.007937,0.080645,0.074074,0.083333,0.001124,0.002367,0.008621,0.006466,0,no
0.054217,0.047619,0.021277,0.133333,0.007937,0.080645,0.074074,0.083333,0.001124,0.002367,0.008621,0.006466,0,no
0.105422,0.047619,0.042553,0.066667,0.02381,0.241935,0.074074,0.083333,0,0.008284,0.017241,0.015086,0,no
0.066265,0,0.031915,0.2,0.007937,0.064516,0,0,0,0,0,0,0,no
0.027108,0.142857,0.010638,0.066667,0,0,0,0,0,0,0,0,0,no
0.075301,0.047619,0.021277,0.066667,0,0.177419,0.092593,0.125,0.000562,0.011243,0.025862,0.017241,0,no
0.018072,0.047619,0.010638,0.066667,0,0,0,0,0,0,0,0,0,no
0.054217,0,0.021277,0.066667,0,0.048387,0,0,0,0,0,0,0,no
0.078313,0.047619,0.021277,0.066667,0,0.193548,0.074074,0.083333,0,0.010651,0.025862,0.019397,0,no
0.018072,0.047619,0.010638,0.066667,0,0,0,0,0,0,0,0,0,no
0.054217,0,0.021277,0.066667,0,0.048387,0,0,0,0,0,0,0,no
0.060241,0.238095,0.010638,0.066667,0.007937,0.177419,0,0,0,0,0,0,0,no
0.081325,0.047619,0.053191,0.133333,0.02381,0.112903,0.074074,0.083333,0,0.011834,0.025862,0.021552,0,no
0.018072,0.047619,0.010638,0.066667,0,0,0,0,0,0,0,0,0,no
0.057229,0.095238,0.053191,0.2,0,0.048387,0,0,0,0,0,0,0,no
0.10241,0.047619,0.042553,0.066667,0,0.145161,0.074074,0.083333,0,0.005917,0.017241,0.010776,0,no
0.11747,0.047619,0.010638,0.066667,0.007937,0.16129,0.037037,0.083333,0,0.004734,0.017241,0.017241,0,no
0.01506,0.047619,0.010638,0.066667,0,0,0,0,0,0,0,0,0,no
0.045181,0.047619,0.031915,0.133333,0.02381,0,0,0,0,0,0,0,0,no
0.024096,0.047619,0.010638,0.066667,0,0.016129,0,0,0,0,0,0,0,no
0.042169,0.047619,0.010638,0.066667,0,0.080645,0.037037,0.083333,0.01573,0,0.060345,0.060345,0,no
0.048193,0.047619,0.031915,0.2,0.007937,0.032258,0.037037,0.083333,0.017978,0,0.068966,0.068966,0,no
0.018072,0.047619,0.010638,0.066667,0,0,0.074074,0.083333,0,0.004734,0.012931,0.008621,0,no
0.512048,0.095238,0.361702,0.4,0.007937,1.193548,0.055556,0.083333,0.191011,0,0.732759,0.488506,0,no
0.024096,0.142857,0.021277,0.133333,0,0.016129,0.037037,0.083333,0.008989,0,0.034483,0.034483,0,no
0.042169,0.142857,0.042553,0.133333,0,0.032258,0.037037,0.083333,0.01573,0,0.060345,0.060345,0,no
0.045181,0.142857,0.042553,0.266667,0,0.064516,0.055556,0.083333,0.017416,0.000592,0.064655,0.045977,0,no
0.033133,0.095238,0.021277,0.133333,0,0.048387,0.037037,0.083333,0.01236,0,0.047414,0.047414,0,no
0.033133,0.095238,0.021277,0.133333,0,0.048387,0.037037,0.083333,0.01236,0,0.047414,0.047414,0,no
0.141566,0.047619,0.074468,0.266667,0,0.225806,0.055556,0.083333,0.053933,0.001183,0.211207,0.140805,0,no
0.084337,0.047619,0.053191,0.2,0.015873,0.112903,0.037037,0.083333,0.031461,0,0.12069,0.12069,0,no
0.144578,0.047619,0.085106,0.266667,0,0.258065,0.055556,0.083333,0.055056,0.001183,0.215517,0.143678,0,no
0.042169,0.190476,0.042553,0.066667,0,0.048387,0.037037,0.083333,0.01573,0,0.060345,0.060345,0,no
0.051205,0.095238,0.042553,0.266667,0.007937,0.080645,0.037037,0.083333,0.019101,0,0.073276,0.073276,0,no
0.391566,0.047619,0.265957,0.333333,0.007937,0.5,0.111111,0.083333,0.146067,0,0.491379,0.186782,0,no
0.192771,0.095238,0.148936,0.2,0,0.258065,0.055556,0.083333,0.07191,0,0.275862,0.183908,0,no
0.033133,0.047619,0.010638,0.066667,0,0.080645,0.037037,0.083333,0.01236,0,0.047414,0.047414,0,no
0.021084,0.047619,0.010638,0.066667,0,0.016129,0.037037,0.083333,0.007865,0,0.030172,0.030172,0,no
0.042169,0.095238,0.010638,0.133333,0.007937,0.048387,0.055556,0.083333,0.001685,0.001775,0.008621,0.008621,0,no
0.03012,0.190476,0.010638,0.066667,0,0,0.055556,0.083333,0.001685,0.000592,0.008621,0.005747,0,no
0.018072,0.047619,0.010638,0.066667,0,0,0.037037,0.083333,0.001124,0.001183,0.008621,0.008621,0,no
0.072289,0.047619,0.042553,0.133333,0.007937,0.032258,0.037037,0.083333,0.001124,0,0.00431,0.00431,0,no
0.060241,0.285714,0.042553,0.066667,0,0,0.037037,0.083333,0.022472,0,0.086207,0.086207,0,no
0.018072,0,0.010638,0.066667,0,0,0.037037,0.083333,0.006742,0,0.025862,0.025862,0,no
0.018072,0,0.010638,0.066667,0,0,0.037037,0.083333,0.006742,0,0.025862,0.025862,0,no
0.120482,0.047619,0.106383,0.2,0.007937,0.096774,0.037037,0.083333,0.044944,0,0.172414,0.172414,0,no
0.01506,0.047619,0.010638,0.066667,0,0.016129,0.037037,0.083333,0.005618,0,0.021552,0.021552,0,no
0.021084,0.047619,0.021277,0.133333,0,0.016129,0.037037,0.083333,0.007865,0,0.030172,0.030172,0,no
0.033133,0.285714,0.010638,0.066667,0,0,0.037037,0.083333,0.01236,0,0.047414,0.047414,0,no
0.054217,0.047619,0.031915,0.133333,0,0.129032,0.092593,0.083333,0.020225,0,0.060345,0.031034,0,no
0.033133,0,0.031915,0.2,0,0.032258,0.037037,0.083333,0.01236,0,0.047414,0.047414,0,no
0.021084,0.047619,0.010638,0.066667,0,0,0.037037,0.083333,0.007865,0,0.030172,0.030172,0,no
0.024096,0.047619,0.010638,0.066667,0,0.016129,0.092593,0.083333,0.010674,0.001775,0.034483,0.018966,0,no
0.066265,0,0.053191,0.133333,0,0.048387,0.092593,0.083333,0.024719,0,0.081897,0.037931,0,no
0.021084,0.047619,0.010638,0.066667,0,0,0.037037,0.083333,0.007865,0,0.030172,0.030172,0,no
0.198795,0.142857,0.191489,0.266667,0.007937,0.258065,0.074074,0.083333,0.074719,0.000592,0.284483,0.144397,0,no
0.018072,0.142857,0.010638,0.066667,0,0,0.037037,0.083333,0.006742,0,0.025862,0.025862,0,no
0.01506,0,0.010638,0.066667,0,0.016129,0.037037,0.083333,0.005618,0,0.021552,0.021552,0,no
0.180723,0.142857,0.191489,0.6,0.015873,0.274194,0.074074,0.083333,0.067416,0,0.258621,0.12931,0,no
0.027108,0.142857,0.010638,0.066667,0,0.032258,0.037037,0.083333,0.010112,0,0.038793,0.038793,0,no
0.237952,0.095238,0.12766,0.466667,0.015873,0.548387,0.111111,0.083333,0.089326,0.000592,0.340517,0.114943,0,no
0.021084,0,0.010638,0.066667,0,0.032258,0.037037,0.083333,0.007865,0,0.030172,0.030172,0,no
0.01506,0,0.010638,0.066667,0,0.016129,0.037037,0.083333,0.005618,0,0.021552,0.021552,0,no
0.114458,0.190476,0.085106,0.2,0.015873,0.080645,0.037037,0.083333,0.042697,0,0.163793,0.163793,0,no
0.021084,0.047619,0.021277,0.066667,0,0,0.037037,0.083333,0.007865,0,0.030172,0.030172,0,no
0.063253,0.047619,0.042553,0.266667,0,0.096774,0.037037,0.083333,0.023596,0,0.090517,0.090517,0,no
0.072289,0.142857,0.031915,0.133333,0.007937,0.064516,0.055556,0.083333,0.026966,0,0.103448,0.068966,0,no
0.01506,0.047619,0.010638,0.066667,0,0,0.055556,0.083333,0.00618,0.000592,0.021552,0.017241,0,no
0.027108,0.047619,0.021277,0.133333,0,0,0.037037,0.083333,0.010112,0,0.038793,0.038793,0,no
0.045181,0.095238,0.031915,0.133333,0,0.032258,0.037037,0.083333,0.016854,0,0.064655,0.064655,0,no
0.045181,0,0.031915,0.133333,0,0.032258,0.037037,0.083333,0.016854,0,0.064655,0.064655,0,no
0.033133,0.142857,0.021277,0.133333,0.007937,0,0.037037,0.083333,0.01236,0,0.047414,0.047414,0,no
0.03012,0.095238,0.010638,0.066667,0,0.048387,0.037037,0.083333,0.011236,0,0.043103,0.043103,0,no
0.045181,0.142857,0.031915,0.066667,0,0.032258,0.037037,0.083333,0.016854,0,0.064655,0.064655,0,no
0.042169,0.095238,0.021277,0.133333,0,0.016129,0.037037,0.083333,0.01573,0,0.060345,0.060345,0,no
0.051205,0.095238,0.031915,0.133333,0,0.064516,0.074074,0.083333,0.020225,0.001183,0.073276,0.040948,0,no
0.045181,0,0.031915,0.133333,0,0.032258,0.055556,0.083333,0.017416,0.000592,0.064655,0.045977,0,no
0.01506,0.047619,0.010638,0.066667,0,0.016129,0.037037,0.083333,0.005618,0,0.021552,0.021552,0,no
0.039157,0,0.021277,0.133333,0,0.096774,0.037037,0.083333,0.014607,0,0.056034,0.056034,0,no
0.075301,0.047619,0.053191,0.066667,0,0.145161,0.037037,0.083333,0.02809,0,0.107759,0.107759,0,no
0.03012,0.095238,0.010638,0.066667,0,0.064516,0.037037,0.083333,0.011236,0,0.043103,0.043103,0,no
0.027108,0,0.010638,0.066667,0,0.016129,0.037037,0.083333,0.010112,0,0.038793,0.038793,0,no
0.03012,0,0.010638,0.066667,0,0.016129,0.037037,0.083333,0.011236,0,0.043103,0.043103,0,no
0.048193,0,0.031915,0.066667,0,0.016129,0.037037,0.083333,0.017978,0,0.068966,0.068966,0,no
0.03012,0.047619,0.010638,0.066667,0,0,0.055556,0.083333,0.011236,0,0.043103,0.028736,0,no
0.075301,0,0.053191,0.2,0,0.064516,0.055556,0.083333,0.02809,0,0.107759,0.071839,0,no
0.03012,0.047619,0.021277,0.066667,0,0.064516,0.037037,0.083333,0.011236,0,0.043103,0.043103,0,no
0.274096,0.047619,0.12766,0.133333,0,0.33871,0.092593,0.083333,0.057303,0.007692,0.366379,0.099138,0,no
0.024096,0.095238,0.010638,0.066667,0,0.032258,0.055556,0.083333,0.005618,0,0.025862,0.014368,0,no
0.03012,0.095238,0.010638,0.066667,0,0.032258,0.037037,0.083333,0.00618,0,0.043103,0.023707,0,no
0.13253,0,0.095745,0.2,0,0.290323,0.037037,0.083333,0.049438,0,0.189655,0.189655,0,no
0.042169,0.047619,0.031915,0.2,0,0.064516,0.037037,0.083333,0.01573,0,0.060345,0.060345,0,no
0.03012,0.047619,0.010638,0.066667,0,0.048387,0.037037,0.083333,0.011236,0,0.043103,0.043103,0,no
0.054217,0.047619,0.042553,0.2,0,0.080645,0.037037,0.083333,0.020225,0,0.077586,0.077586,0,no
0.075301,0.047619,0.06383,0.133333,0,0.145161,0.037037,0.083333,0.02809,0,0.107759,0.107759,0,no
0.021084,0,0.010638,0.066667,0,0.032258,0.055556,0.083333,0.008427,0.000592,0.030172,0.022989,0,no
0.021084,0,0.010638,0.066667,0,0.032258,0.055556,0.083333,0.008427,0.000592,0.030172,0.022989,0,no
0.057229,0,0.06383,0.4,0,0.064516,0.037037,0.083333,0.021348,0,0.081897,0.081897,0,no
0.054217,0,0.06383,0.133333,0.007937,0.048387,0.037037,0.083333,0.020225,0,0.077586,0.077586,0,no
0.024096,0.047619,0.021277,0.133333,0,0.016129,0.037037,0.083333,0.008989,0,0.034483,0.034483,0,no
0.024096,0.095238,0.010638,0.066667,0,0.032258,0.037037,0.083333,0.008989,0,0.034483,0.034483,0,no
0.024096,0.047619,0.010638,0.066667,0,0.032258,0.037037,0.083333,0.008989,0,0.034483,0.034483,0,no
0.024096,0.142857,0.010638,0.066667,0,0.032258,0.037037,0.083333,0.008989,0,0.034483,0.034483,0,no
0.024096,0.142857,0.010638,0.066667,0,0.032258,0.037037,0.083333,0.008989,0,0.034483,0.034483,0,no
0.024096,0.095238,0.010638,0.066667,0,0.032258,0.037037,0.083333,0.008989,0,0.034483,0.034483,0,no
0.024096,0.095238,0.010638,0.066667,0,0.032258,0.037037,0.083333,0.008989,0,0.034483,0.034483,0,no
0.057229,0,0.053191,0.066667,0,0.016129,0.037037,0.083333,0.021348,0,0.081897,0.081897,0,no
0.018072,0.047619,0,0.066667,0,0.032258,0.037037,0.083333,0.006742,0,0.025862,0.025862,0,no
0.075301,0.047619,0.031915,0.133333,0,0.145161,0.074074,0.083333,0,0.004734,0.012931,0.008621,0,no
0.078313,0.047619,0.031915,0.133333,0,0.16129,0.074074,0.166667,0.033708,0.004734,0.12931,0.073276,0,no
0.021084,0.095238,0.010638,0.066667,0.007937,0,0.037037,0.083333,0.007865,0,0.030172,0.030172,0,no
0.078313,0.047619,0.031915,0.133333,0,0.16129,0.111111,0.166667,0.001124,0.005917,0.012931,0.008621,0,no
0.036145,0.095238,0.010638,0.066667,0,0.032258,0,0,0,0,0,0,0,no
0.01506,0.095238,0.010638,0.066667,0.007937,0,0.037037,0.083333,0.005618,0,0.021552,0.021552,0,no
0.039157,0.047619,0.021277,0.133333,0,0.032258,0.074074,0.083333,0,0.004734,0.012931,0.008621,0,no
0.039157,0.047619,0.021277,0.133333,0,0.032258,0.074074,0.166667,0.019101,0.004734,0.073276,0.045259,0,no
0.039157,0,0.010638,0.066667,0,0.080645,0,0,0,0,0,0,0,no
0.057229,0,0.010638,0.066667,0,0,0,0,0,0,0,0,0,no
0.057229,0,0.010638,0.066667,0,0.016129,0,0,0,0,0,0,0,no
0.024096,0,0.010638,0.066667,0,0,0,0,0,0,0,0,0,no
0.024096,0,0.010638,0.066667,0,0,0,0,0,0,0,0,0,no
0.045181,0.095238,0.031915,0.133333,0,0.048387,0,0,0,0,0,0,0,no
0.021084,0,0.010638,0.066667,0,0,0,0,0,0,0,0,0,no
0.060241,0.047619,0.021277,0.066667,0,0.096774,0.074074,0.083333,0.001124,0.007101,0.021552,0.015086,0,no
0.072289,0.047619,0.021277,0.066667,0,0.112903,0.074074,0.083333,0.001124,0.007101,0.021552,0.015086,0,no
0.045181,0.047619,0.031915,0.066667,0,0.032258,0.037037,0.083333,0,0.00355,0.012931,0.012931,0,no
0.039157,0.047619,0.021277,0.133333,0.02381,0.080645,0,0,0,0,0,0,0,no
0.045181,0.047619,0.031915,0.066667,0,0.032258,0.037037,0.083333,0,0.00355,0.012931,0.012931,0,no
0.045181,0.047619,0.031915,0.066667,0,0.032258,0.037037,0.083333,0,0.001183,0.00431,0.00431,0,no
0.045181,0.047619,0.031915,0.066667,0,0.032258,0.037037,0.083333,0,0.004734,0.017241,0.017241,0,no
0.027108,0.047619,0.010638,0.066667,0,0.032258,0.018519,0.041667,0.000562,0.000592,0.008621,0.008621,0,no
0.03012,0.047619,0.010638,0.066667,0,0.048387,0.018519,0.041667,0.000562,0.000592,0.008621,0.008621,0,no
0.027108,0.047619,0.010638,0.066667,0,0.032258,0.018519,0.041667,0.000562,0.000592,0.008621,0.008621,0,no
0.048193,0.047619,0.031915,0.066667,0,0.048387,0.037037,0.083333,0,0.002367,0.008621,0.008621,0,no
0.027108,0.095238,0.010638,0.066667,0.007937,0.032258,0,0,0,0,0,0,0,no
0.01506,0.095238,0.010638,0.066667,0,0.016129,0,0,0,0,0,0,0,no
0.018072,0.047619,0.010638,0.066667,0.007937,0,0,0,0,0,0,0,0,no
